#  Table all_wfc_june03.fits[1]  Thu 15:22:31 12-Jun-2003

#      WAVELENGTH           F435W           F475W           F550M           F555W           F606W           F625W           F775W           F814W          F850LP

            3000.    1.270125E-36              0.    1.236624E-36              0.    2.332681E-35    1.252726E-35              0.              0.              0.
           3000.5    1.477756E-13              0.    1.460580E-13              0.    2.712200E-12    1.456685E-12              0.              0.              0.
            3001.    2.958082E-13              0.    2.967369E-13              0.    5.425491E-12    2.914244E-12              0.              0.              0.
           3001.5    4.440976E-13              0.    4.520522E-13              0.    8.139858E-12    4.372671E-12              0.              0.              0.
            3002.    5.926436E-13              0.    6.120190E-13              0.    1.085528E-11    5.831956E-12              0.              0.              0.
           3002.5    7.414458E-13              0.    7.766525E-13              0.    1.357174E-11    7.292091E-12              0.              0.              0.
            3003.    8.905041E-13              0.    9.459682E-13              0.    1.628923E-11    8.753068E-12              0.              0.              0.
           3003.5    1.039818E-12              0.    1.119981E-12              0.    1.900771E-11    1.021488E-11              0.              0.              0.
            3004.    1.189387E-12              0.    1.298707E-12              0.    2.172718E-11    1.167751E-11              0.              0.              0.
           3004.5    1.339212E-12              0.    1.482160E-12              0.    2.444763E-11    1.314096E-11              0.              0.              0.
            3005.    1.489292E-12              0.    1.670357E-12              0.    2.716902E-11    1.460522E-11              0.              0.              0.
           3005.5    1.639627E-12              0.    1.863312E-12              0.    2.989135E-11    1.607028E-11              0.              0.              0.
            3006.    1.790216E-12              0.    2.061041E-12              0.    3.261459E-11    1.753613E-11              0.              0.              0.
           3006.5    1.941059E-12              0.    2.263560E-12              0.    3.533873E-11    1.900276E-11              0.              0.              0.
            3007.    2.092156E-12              0.    2.470882E-12              0.    3.806376E-11    2.047018E-11              0.              0.              0.
           3007.5    2.243507E-12              0.    2.683025E-12              0.    4.078965E-11    2.193835E-11              0.              0.              0.
            3008.    2.395112E-12              0.    2.900002E-12              0.    4.351638E-11    2.340728E-11              0.              0.              0.
           3008.5    2.546970E-12              0.    3.121831E-12              0.    4.624395E-11    2.487696E-11              0.              0.              0.
            3009.    2.699081E-12              0.    3.348524E-12              0.    4.897232E-11    2.634738E-11              0.              0.              0.
           3009.5    2.851445E-12              0.    3.580099E-12              0.    5.170149E-11    2.781854E-11              0.              0.              0.
            3010.    3.004060E-12              0.    3.816570E-12              0.    5.443143E-11    2.929041E-11              0.              0.              0.
           3010.5    3.163092E-12              0.    4.065875E-12              0.    5.727372E-11    3.082306E-11              0.              0.              0.
            3011.    3.322958E-12              0.    4.321050E-12              0.    6.012716E-11    3.236203E-11              0.              0.              0.
           3011.5    3.483658E-12              0.    4.582135E-12              0.    6.299168E-11    3.390729E-11              0.              0.              0.
            3012.    3.645194E-12              0.    4.849174E-12              0.    6.586728E-11    3.545883E-11              0.              0.              0.
           3012.5    3.807563E-12              0.    5.122206E-12              0.    6.875386E-11    3.701662E-11              0.              0.              0.
            3013.    3.970764E-12              0.    5.401272E-12              0.    7.165139E-11    3.858063E-11              0.              0.              0.
           3013.5    4.134797E-12              0.    5.686415E-12              0.    7.455984E-11    4.015086E-11              0.              0.              0.
            3014.    4.299660E-12              0.    5.977674E-12              0.    7.747912E-11    4.172725E-11              0.              0.              0.
           3014.5    4.465355E-12              0.    6.275090E-12              0.    8.040923E-11    4.330981E-11              0.              0.              0.
            3015.    4.631879E-12              0.    6.578707E-12              0.    8.335010E-11    4.489851E-11              0.              0.              0.
           3015.5    4.799232E-12              0.    6.888563E-12              0.    8.630168E-11    4.649332E-11              0.              0.              0.
            3016.    4.967413E-12              0.    7.204702E-12              0.    8.926393E-11    4.809422E-11              0.              0.              0.
           3016.5    5.136421E-12              0.    7.527160E-12              0.    9.223678E-11    4.970117E-11              0.              0.              0.
            3017.    5.306257E-12              0.    7.855987E-12              0.    9.522021E-11    5.131418E-11              0.              0.              0.
           3017.5    5.476918E-12              0.    8.191216E-12              0.    9.821416E-11    5.293320E-11              0.              0.              0.
            3018.    5.648405E-12              0.    8.532892E-12              0.    1.012186E-10    5.455823E-11              0.              0.              0.
           3018.5    5.820716E-12              0.    8.881056E-12              0.    1.042334E-10    5.618923E-11              0.              0.              0.
            3019.    5.993850E-12              0.    9.235748E-12              0.    1.072586E-10    5.782616E-11              0.              0.              0.
           3019.5    6.167809E-12              0.    9.597011E-12              0.    1.102942E-10    5.946903E-11              0.              0.              0.
            3020.    6.342589E-12              0.    9.964885E-12              0.    1.133400E-10    6.111781E-11              0.              0.              0.
           3020.5    6.514940E-12              0.    1.033425E-11              0.    1.163380E-10    6.274116E-11              0.              0.              0.
            3021.    6.687954E-12              0.    1.070997E-11              0.    1.193434E-10    6.436888E-11              0.              0.              0.
           3021.5    6.861631E-12              0.    1.109206E-11              0.    1.223563E-10    6.600098E-11              0.              0.              0.
            3022.    7.035972E-12              0.    1.148056E-11              0.    1.253766E-10    6.763742E-11              0.              0.              0.
           3022.5    7.210978E-12              0.    1.187552E-11              0.    1.284043E-10    6.927822E-11              0.              0.              0.
            3023.    7.386644E-12              0.    1.227695E-11              0.    1.314392E-10    7.092331E-11              0.              0.              0.
           3023.5    7.562974E-12              0.    1.268491E-11              0.    1.344814E-10    7.257272E-11              0.              0.              0.
            3024.    7.739964E-12              0.    1.309941E-11              0.    1.375309E-10    7.422640E-11              0.              0.              0.
           3024.5    7.917614E-12              0.    1.352050E-11              0.    1.405876E-10    7.588434E-11              0.              0.              0.
            3025.    8.095926E-12              0.    1.394821E-11              0.    1.436515E-10    7.754652E-11              0.              0.              0.
           3025.5    8.274897E-12              0.    1.438258E-11              0.    1.467224E-10    7.921291E-11              0.              0.              0.
            3026.    8.454526E-12              0.    1.482364E-11              0.    1.498004E-10    8.088352E-11              0.              0.              0.
           3026.5    8.634814E-12              0.    1.527141E-11              0.    1.528855E-10    8.255831E-11              0.              0.              0.
            3027.    8.815761E-12              0.    1.572595E-11              0.    1.559776E-10    8.423726E-11              0.              0.              0.
           3027.5    8.997364E-12              0.    1.618728E-11              0.    1.590767E-10    8.592037E-11              0.              0.              0.
            3028.    9.179625E-12              0.    1.665544E-11              0.    1.621827E-10    8.760761E-11              0.              0.              0.
           3028.5    9.362541E-12              0.    1.713046E-11              0.    1.652955E-10    8.929894E-11              0.              0.              0.
            3029.    9.546113E-12              0.    1.761238E-11              0.    1.684153E-10    9.099437E-11              0.              0.              0.
           3029.5    9.730340E-12              0.    1.810122E-11              0.    1.715418E-10    9.269386E-11              0.              0.              0.
            3030.    9.915223E-12              0.    1.859704E-11              0.    1.746751E-10    9.439743E-11              0.              0.              0.
           3030.5    1.010511E-11              0.    1.910807E-11              0.    1.778916E-10    9.614638E-11              0.              0.              0.
            3031.    1.029578E-11              0.    1.962653E-11              0.    1.811171E-10    9.790060E-11              0.              0.              0.
           3031.5    1.048724E-11              0.    2.015246E-11              0.    1.843516E-10    9.966006E-11              0.              0.              0.
            3032.    1.067949E-11              0.    2.068590E-11              0.    1.875949E-10    1.014247E-10              0.              0.              0.
           3032.5    1.087253E-11              0.    2.122689E-11              0.    1.908471E-10    1.031946E-10              0.              0.              0.
            3033.    1.106636E-11              0.    2.177547E-11              0.    1.941080E-10    1.049696E-10              0.              0.              0.
           3033.5    1.126097E-11              0.    2.233168E-11              0.    1.973777E-10    1.067498E-10              0.              0.              0.
            3034.    1.145636E-11              0.    2.289556E-11              0.    2.006560E-10    1.085350E-10              0.              0.              0.
           3034.5    1.165254E-11              0.    2.346714E-11              0.    2.039430E-10    1.103254E-10              0.              0.              0.
            3035.    1.184950E-11              0.    2.404648E-11              0.    2.072385E-10    1.121208E-10              0.              0.              0.
           3035.5    1.204724E-11              0.    2.463362E-11              0.    2.105426E-10    1.139213E-10              0.              0.              0.
            3036.    1.224576E-11              0.    2.522858E-11              0.    2.138551E-10    1.157268E-10              0.              0.              0.
           3036.5    1.244507E-11              0.    2.583141E-11              0.    2.171761E-10    1.175373E-10              0.              0.              0.
