#  Table all_hrc_june03.fits[1]  Thu 15:22:37 12-Jun-2003

#      WAVELENGTH           F220W           F250W           F330W           F435W           F475W           F550M           F555W           F606W           F625W           F775W           F814W          F850LP

            1500.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1500.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1501.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1501.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1502.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1502.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1503.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1503.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1504.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1504.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1505.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1505.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1506.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1506.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1507.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1507.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1508.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1508.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1509.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1509.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1510.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1510.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1511.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1511.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1512.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1512.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1513.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1513.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1514.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1514.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1515.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1515.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1516.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1516.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1517.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1517.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1518.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1518.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1519.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1519.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1520.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1520.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1521.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1521.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1522.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1522.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1523.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1523.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1524.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1524.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1525.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1525.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1526.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1526.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1527.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1527.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1528.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1528.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1529.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1529.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1530.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1530.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1531.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1531.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1532.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1532.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1533.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1533.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1534.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1534.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1535.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1535.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1536.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1536.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1537.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1537.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1538.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1538.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1539.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1539.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1540.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1540.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1541.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1541.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1542.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1542.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1543.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1543.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1544.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1544.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1545.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1545.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1546.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1546.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1547.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1547.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1548.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1548.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1549.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1549.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1550.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1550.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1551.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1551.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1552.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1552.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1553.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1553.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1554.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1554.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1555.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1555.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1556.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1556.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1557.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1557.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1558.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1558.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1559.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1559.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1560.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
