Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,DES Footprint,PanSTARRS,NED,PSZ2 Indx,PSZ1 Indx,Redshift,Semester,Val,PCCS2,SNR_PSZ2,SNR_PSZ1,MOSAIC Imaging,Optical run2,SALT Imaging,SALT Spec,SOAR Imaging,NEWFIRM Imaging,RAW MOSAIC,RAW NEWFIRM,VO MOSAIC,VO NEWFIRM,Mosaics,Catalogs,Calibrated,Color Cat,Photo-z,maxBCG,ROSAT_x,RASS rate,RASS S/N,New RASS rate,New RASS S/N,Validation,COSMO,COMMENT,PCCS,Optical run1,Optical run2_y,IR run1,Swift,Comments
PSZ2_G123.84+25.75,43.87500096,88.40053224,2:55:30,+88:24:01.91,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=2%3A55%3A30+%2B88%3A24%3A01.91&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=43.875001d&lat=88.400532d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,608,453,-1,,-1,F,5.807,5.041,11/24/2016,,,,,2/22/2016,,,,,,,,FALSE,FALSE,FALSE,,0.0001,0.03,-0.0037,-1.47,3,FALSE,FALSE,FALSE,,,,,I don't see this imaging
PSZ2_G123.35+25.39,25.33167665,88.22071422,1:41:20,+88:13:14.57,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=1%3A41%3A20+%2B88%3A13%3A14.57&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=25.331677d&lat=88.220714d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,603,449,-1,-999,-1,T,10.86,5.897,10/25/2014,,,,,2/22/2016,,,,,,,,FALSE,FALSE,FALSE,,0.0042,1,0.0022,0.57,3,FALSE,FALSE,FALSE,10/25/2014,,,,I don't see this imaging
PSZ2_G125.11+28.14,131.0118618,87.81815671,8:44:03,+87:49:05.36,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=8%3A44%3A03+%2B87%3A49%3A05.36&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=131.011862d&lat=87.818157d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,612,-1,-1,,-1,T,4.9889,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0034,0.99,,FALSE,FALSE,FALSE,,,,,
PSZ2_G124.56+25.38,53.13064643,87.72211353,3:32:31,+87:43:19.60,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=3%3A32%3A31+%2B87%3A43%3A19.60&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=53.130646d&lat=87.722114d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,611,455,-1,,-1,F,5.357,4.76,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,-0.0016,-0.51,-0.0016,-0.51,3,FALSE,TRUE,FALSE,,,,,
PSZ2_G125.41+27.95,123.9960994,87.64659432,8:15:59,+87:38:47.73,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=8%3A15%3A59+%2B87%3A38%3A47.73&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=123.996099d&lat=87.646594d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,616,-1,-1,,-1,T,4.7591,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0006,-0.2,,FALSE,FALSE,FALSE,,,,,
PSZ2_G124.11+25.02,40.01225671,87.64409172,2:40:03,+87:38:38.73,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=2%3A40%3A03+%2B87%3A38%3A38.73&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=40.012257d&lat=87.644092d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,609,-1,-1,,-1,T,5.5289,,,,,,,11/13/2016,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0058,-3.25,,FALSE,FALSE,FALSE,,,,,
PSZ2_G122.81+24.74,10.35607284,87.6156268,0:41:25,+87:36:56.25,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=0%3A41%3A25+%2B87%3A36%3A56.25&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=10.356073d&lat=87.615627d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,600,-1,-1,,-1,T,4.5977,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0057,-3.61,,FALSE,FALSE,FALSE,,,,,
PSZ2_G120.36+26.03,307.7575553,87.4583044,20:31:02,+87:27:29.89,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=20%3A31%3A02+%2B87%3A27%3A29.89&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=307.757555d&lat=87.458304d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,591,-1,-1,,-1,T,5.2959,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0014,0.45,,FALSE,FALSE,FALSE,,,,,
PSZ2_G120.75+25.39,323.9867091,87.38292426,21:35:57,+87:22:58.52,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=21%3A35%3A57+%2B87%3A22%3A58.52&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=323.986709d&lat=87.382924d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,592,-1,-1,,-1,T,4.6861,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0002,0.05,,FALSE,FALSE,FALSE,,,,,
PSZ1_G124.64+29.38,159.4638174,87.27991786,10:37:51,+87:16:47.70,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=10%3A37%3A51+%2B87%3A16%3A47.70&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=159.463817d&lat=87.279918d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,,,,,,,,4.886,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0.0014,0.5,,,3,FALSE,FALSE,FALSE,,,,,
