Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
1,PSZ1_G045.54+16.26,273.5380046,18.31664961,18:14:09,+18:18:59.93,,,,,,archive S/N = 4.6736,174,49596,,,5552,Yes,,,,3.13E-12,0.16,18 14 13.2,+18 17 13,2MASX J18141327+1817035,14.087,J,0.24,,,,
1,PSZ1_G084.41-12.43,324.4640151,35.58198551,21:37:51,+35:34:55.14,,,,,,archive S/N = 7.0646,366,39901,,,1043,Yes (4-XMM),,,,1.79E-12,0.14,21 37 50.9,+35 35 03,,,,0.273,,,,
1,PSZ1_G102.97-04.77,338.6974456,52.72052801,22:34:47,+52:43:13.90,,,,,,archive S/N = 5.6402,494,84109,,,2094,Yes (4-XMM),Opt,,,3.69E-13,0.25,22 34 47.7,+52 42 42,,,,-1,,,,
1,PSZ1_G114.81-11.80,0.3758279609,50.27524308,0:01:30,+50:16:30.87,,,,,,archive S/N = 4.8487,557,46934,,,2036,Yes,,,,1.98E-12,0.083,00 01 20.8,+50 16 30,2MASS J00011783+5016562,,,0.25,,,,
1,PSZ1_G191.05+12.85,104.911754,25.13962097,6:59:39,+25:08:22.63,,,,,,archive S/N = 4.5097,-999,47793,,,2617,Yes,,,,1.43E-12,0.11,06 59 51.0,+25 05 23,2MASX J06595093+2505217,,,-1,,,,
1,PSZ1_G231.05-17.32,94.72276794,-23.58271023,6:18:53,-23:34:58,,,,,,archive S/N = 4.7361,1048,39070/47568,,,2670,Yes,,,,5.50E-13,0.15,06 18 50.3,-23 34 44,,,,0.403,,,,
1,PSZ1_G244.65+08.61,126.6258198,-23.23207392,8:26:30,-23:13:55,,,,,,archive S/N = 4.5605,1108,,,,1484,Yes,,,,,,,,,,,0.251,,,,
1,PSZ1_G246.45+13.16,131.7484087,-22.00920688,8:47:00,-22:00:33,,,,,,archive S/N = 4.7494,1116,,,,975,Yes,,,,,,,,,,,0.436,,,,
1,PSZ1_G261.65-10.98,117.3088536,-48.03108805,7:49:14,-48:01:52,,,,,,archive S/N = 4.9044,1204,38608/46870,,,3483,Yes,,,,,,,,2MASX J07491720-4803055,16.7,R,-1,,,,
1,PSZ1_G271.28-36.12,76.37427245,-61.7409416,5:05:30,-61:44:27,,,,,,archive S/N = 5.132,1261,,,,1529,Yes,,,,,,,,,,,0.25,,,,
