PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,DES,DES Catalog,NED,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N,Notes
744,PSZ2_G153.56+36.82,131.1331774,62.41165761,8:44:32,+62:24:41.96,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=131.133177&dec=62.411658&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=131.133177d&lat=62.411658d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,15.8967,-1,-1,1,-1,T,,24-Nov-16,25-Nov-16,17-Nov-15,,unknown,unknown,TRUE,,,,-0.0011,-0.35,,,,,
1601,PSZ2_G342.45+24.14,233.1549831,-26.09960369,15:32:37,-26:05:59,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=233.154983d&lat=-26.099604d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,15.7141,-1,-1,-1,-1,T,,27-Apr-16,,,,unknown,unknown,TRUE,,,,0.003,0.45,,,,,
485,PSZ2_G100.45+16.79,304.6406633,66.78551437,20:18:34,+66:47:07.85,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=304.640663d&lat=66.785514d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,11.7853,-1,-1,1,-1,T,,7-Oct-15,,16-Nov-15,,unknown,unknown,TRUE,,,,-0.0033,-2.18,,,,,
1587,PSZ2_G340.09+22.89,232.119484,-28.4241335,15:28:29,-28:25:27,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=232.119484d&lat=-28.424134d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,11.3539,-1,-1,-1,-1,T,,27-Apr-16,,,,unknown,unknown,FALSE,,,,0.0051,0.7,,,,,
603,PSZ2_G123.35+25.39,25.33167665,88.22071422,1:41:20,+88:13:14.57,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=25.331677d&lat=88.220714d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,10.8593,449,-1,-999,-1,T,PSZ1_G123.37+25.34,25-Oct-14,,22-Feb-16,,unknown,unknown,FALSE,,0.0042,1,0.0022,0.57,449,603,10.86,5.897,
522,PSZ2_G107.41-09.57,348.4457875,50.32555889,23:13:47,+50:19:32.01,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=348.445787d&lat=50.325559d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,10.6877,-1,-1,2,-1,T,,13-Jun-16,,16-Nov-15,,unknown,unknown,TRUE,,,,-0.0037,-0.94,,,,,
949,PSZ2_G210.37-37.00,68.18270407,-14.05027829,4:32:44,-14:03:01,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=68.182704d&lat=-14.050278d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.8447,-1,-1,-2,-1,T,,24-Nov-16,,17-Nov-15,,unknown,unknown,TRUE,,,,-0.0011,-0.2,,,,,
796,PSZ2_G166.27-24.71,55.66079793,23.41149792,3:42:39,+23:24:41.39,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=55.660798d&lat=23.411498d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.5753,-1,-1,2,-1,T,,25-Nov-16,,16-Nov-15,,unknown,unknown,TRUE,,,,-0.0061,-2.28,,,,,
1502,PSZ2_G318.46+83.79,194.6379736,21.13664876,12:58:33,+21:08:11.93,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=194.637974&dec=21.136649&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=194.637974d&lat=21.136649d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.401,1122,-1,-999,-1,F,PSZ1_G318.61+83.80,20-Feb-14,,20-Mar-14,girz,reduced,unknown,FALSE,,-0.0031,-1.01,-0.0029,-0.97,1122,1502,9.401,6.929,
1070,PSZ2_G235.96+38.21,146.546254,0.486121791,9:46:11,+00:29:10.03,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=146.546254&dec=0.486122&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=146.546254d&lat=0.486122d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.3962,791,-1,1,-1,T,PSZ1_G235.93+38.21,29-Jan-16,,21-Feb-16,,unknown,unknown,TRUE,,-0.0038,-1.62,-0.0039,-1.67,791,1070,9.396,4.792,
