index,Name,RA,DEC
0,PSZ2_G153.56+36.82,131.1331774,62.41165761
1,PSZ2_G342.45+24.14,233.1549831,-26.09960369
2,PSZ2_G100.45+16.79,304.6406633,66.78551437
3,PSZ2_G340.09+22.89,232.119484,-28.4241335
4,PSZ2_G123.35+25.39,25.33167665,88.22071422
5,PSZ2_G107.41-09.57,348.4457875,50.32555889
6,PSZ2_G210.37-37.00,68.18270407,-14.05027829
7,PSZ2_G166.27-24.71,55.66079793,23.41149792
8,PSZ2_G318.46+83.79,194.6379736,21.13664876
9,PSZ2_G235.96+38.21,146.546254,0.486121791
10,PSZ2_G230.28-28.57,82.78813825,-26.82472872
11,PSZ2_G181.88-30.77,61.08926858,9.27079767
12,PSZ2_G044.83+10.02,279.164107,15.08047921
13,PSZ2_G243.00-65.94,38.9777896,-36.73761312
14,PSZ2_G032.12-14.96,295.8916172,-7.462413944
15,PSZ2_G228.35-66.31,39.66915281,-30.83913394
16,PSZ2_G029.80-17.40,297.1337388,-10.52775726
17,PSZ2_G294.37-14.33,159.2046791,-74.91753648
18,PSZ2_G071.67-42.76,337.7250414,5.701450071
19,PSZ2_G310.81+83.91,193.7525349,21.0947672
20,PSZ2_G314.77-28.57,293.4761027,-79.43657736
21,PSZ2_G315.66-28.64,293.5013063,-78.64764777
22,PSZ2_G137.58+53.88,174.8622413,61.15028912
23,PSZ2_G166.27-25.02,55.43459157,23.18345871
24,PSZ2_G292.84-16.57,149.2666707,-75.90834612
25,PSZ2_G137.24+53.93,175.2772366,61.19417407
26,PSZ2_G246.86-12.29,107.0408592,-35.62741104
27,PSZ2_G337.90+23.58,229.8026131,-29.07012872
28,PSZ2_G028.15-08.62,288.4216367,-8.140585426
29,PSZ2_G167.44-38.06,47.30173852,12.61985997
30,PSZ2_G349.50-06.85,266.9918117,-41.44786633
31,PSZ2_G210.71+63.08,162.9234653,24.96921975
32,PSZ2_G309.62-19.95,234.82538,-80.56573974
33,PSZ2_G320.94+83.69,194.9459811,21.11573247
34,PSZ2_G189.79-37.25,59.90453503,0.131891524
35,PSZ2_G260.80+06.71,136.2992971,-37.02497175
36,PSZ2_G294.28-19.03,146.5609664,-78.65899878
37,PSZ2_G327.27+11.05,227.8356362,-45.10250732
38,PSZ2_G107.83-45.45,1.895514857,16.13084928
39,PSZ2_G253.44-10.93,112.1382027,-40.85460056
40,PSZ2_G278.79+08.54,156.2233157,-47.3374002
41,PSZ2_G192.40-67.89,34.5818793,-17.75636893
42,PSZ2_G024.46-18.08,295.5950788,-15.43575602
43,PSZ2_G127.35-10.69,19.92309251,51.93760921
44,PSZ2_G136.31+54.67,176.959825,60.76557528
45,PSZ2_G276.46-21.52,110.1690605,-65.29388282
46,PSZ2_G135.94-68.22,17.67392757,-5.845709225
47,PSZ2_G033.27-17.54,298.7166445,-7.603083209
48,PSZ2_G092.46-35.22,346.4589494,21.32443381
49,PSZ2_G305.96-37.15,359.2900797,-79.65246045
50,PSZ2_G359.67-07.23,273.5496293,-32.79096593
51,PSZ2_G337.91-12.15,265.2563183,-53.98345366
52,PSZ2_G305.96-25.45,251.9190311,-86.81068985
53,PSZ2_G047.53+08.55,281.7441112,16.84316444
54,PSZ2_G281.48-08.34,141.6462016,-62.34633032
55,PSZ2_G125.55+32.72,171.3945938,83.95809085
56,PSZ2_G297.64-11.94,173.7429101,-74.0284876
57,PSZ2_G250.43-09.02,112.6018754,-37.35368004
58,PSZ2_G027.77+10.88,270.8407059,0.432664216
59,PSZ2_G104.15-38.85,357.201837,21.7235008
60,PSZ2_G163.22-26.48,52.11903775,23.83754341
61,PSZ2_G341.09-33.15,302.68887,-56.63664304
62,PSZ2_G210.78-36.25,69.02984701,-14.0494475
63,PSZ2_G343.92+22.67,235.3521128,-26.36688965
64,PSZ2_G022.03+17.75,262.1523015,-1.21755335
65,PSZ2_G191.82-26.64,69.65383118,4.700734496
66,PSZ2_G146.88+17.13,83.541164,65.72063358
67,PSZ2_G338.52+22.97,230.7418915,-29.2306816
68,PSZ2_G337.23-12.59,265.3503124,-54.78109267
69,PSZ2_G338.21+23.46,230.1449047,-29.00079718
70,PSZ2_G241.41-65.88,39.26295161,-36.13011051
71,PSZ2_G338.04+23.65,229.88005,-28.94048581
72,PSZ2_G093.04-32.38,345.4275891,24.04025164
73,PSZ2_G337.95+22.70,230.4398862,-29.75485362
74,PSZ2_G299.54+17.83,188.3017751,-44.91854436
75,PSZ2_G145.25+50.84,163.3571656,60.86201372
76,PSZ2_G261.67-10.97,117.3343113,-48.04210914
77,PSZ2_G328.96+71.97,200.8032917,10.72822197
78,PSZ2_G295.61-17.50,156.2505744,-78.24315335
79,PSZ2_G292.77-23.80,120.5493457,-80.24785835
80,PSZ2_G171.79-42.08,47.16611117,7.409158209
81,PSZ2_G285.18+16.11,169.0743325,-43.45278129
82,PSZ2_G065.35-08.01,306.5168037,24.13520041
83,PSZ2_G264.52-17.77,109.4666369,-53.45183145
84,PSZ2_G092.11-33.73,345.4059019,22.4832542
85,PSZ2_G327.66-54.26,345.907593,-57.38018753
86,PSZ2_G123.84+25.75,43.87500096,88.40053224
87,PSZ2_G096.43-20.89,342.0362292,35.55596568
88,PSZ2_G173.76+22.92,109.3682496,44.05767236
89,PSZ2_G293.63+08.25,177.2786319,-53.48895928
90,PSZ2_G338.25+22.60,230.761883,-29.68049547
91,PSZ2_G317.79+26.63,208.9920333,-34.36697496
92,PSZ2_G275.73-06.12,137.0151795,-56.69510198
93,PSZ2_G029.66-47.63,326.4342608,-21.780224
94,PSZ2_G048.47+34.86,255.535051,27.14668094
95,PSZ2_G075.08+19.83,281.6991477,45.77591094
96,PSZ2_G323.70-25.45,282.4323869,-71.32477362
97,PSZ2_G112.07-39.86,3.87297977,22.24541893
98,PSZ2_G305.76+44.79,194.9767598,-18.03301376
99,PSZ2_G089.06-11.79,328.2214948,39.06458425
100,PSZ2_G194.68-49.76,51.3417219,-9.68045472
101,PSZ2_G106.11+24.11,290.3513156,74.55607672
102,PSZ2_G031.41-19.16,299.4189763,-9.898972405
103,PSZ2_G036.69-15.67,298.5192033,-3.839686008
104,PSZ2_G100.22+33.81,258.4192833,69.37342564
105,PSZ2_G323.31+27.37,214.2706026,-32.08272668
106,PSZ2_G276.14-07.68,135.347808,-58.0304453
107,PSZ2_G274.73-16.79,118.6129556,-61.9600438
108,PSZ2_G343.68+24.10,234.143467,-25.41468582
109,PSZ2_G045.50-08.62,296.3535003,7.074746047
110,PSZ2_G165.39+09.22,86.99384924,46.14423599
111,PSZ2_G233.12-26.25,86.16379564,-28.50306434
112,PSZ2_G292.04+22.91,179.9441091,-38.86094288
113,PSZ2_G120.76+44.14,198.161655,72.88985312
114,PSZ2_G328.05+15.79,225.4370484,-40.6348407
115,PSZ2_G081.60+18.47,286.7627851,51.11261566
116,PSZ2_G023.05+20.52,260.1954405,0.96849719
117,PSZ2_G252.45+73.44,179.6442305,16.00510668
118,PSZ2_G312.48-28.86,296.6917179,-81.38692037
119,PSZ2_G305.55-42.77,5.778225628,-74.20635064
120,PSZ2_G043.44-41.27,324.1836115,-10.29661659
121,PSZ2_G099.62+14.86,307.6361682,65.09358741
122,PSZ2_G092.34+14.22,301.0280606,58.72759377
123,PSZ2_G248.95-20.71,98.02241068,-40.60866213
124,PSZ2_G124.11+25.02,40.01225671,87.64409172
125,PSZ2_G091.27-38.62,347.3346166,17.8952747
126,PSZ2_G216.25+10.10,113.3567643,1.676746698
127,PSZ2_G137.51-09.98,35.69151286,50.28438373
128,PSZ2_G098.38+77.22,199.6058535,38.58526291
129,PSZ2_G270.88+37.23,166.3311528,-18.94861016
130,PSZ2_G246.45-07.68,111.8392777,-33.23104447
131,PSZ2_G032.13-44.36,323.6921254,-19.13069331
132,PSZ2_G286.66-23.93,111.5331787,-74.98666566
133,PSZ2_G117.38-52.47,9.426704235,10.24853628
134,PSZ2_G267.55+09.14,144.5156939,-40.08815106
135,PSZ2_G319.64-65.11,1.87840711,-50.5599751
136,PSZ2_G030.27-16.94,296.9130194,-9.928212461
137,PSZ2_G185.50-33.94,60.50594718,4.902967737
138,PSZ2_G270.07-20.02,109.0292653,-59.15836923
139,PSZ2_G086.35-13.94,327.4345076,35.71041542
140,PSZ2_G106.48-10.42,347.6369971,49.19549444
141,PSZ2_G125.25+33.33,175.5136227,83.47784195
142,PSZ2_G112.54+59.53,202.4759113,56.81234932
143,PSZ2_G278.87+16.70,162.0431383,-40.33588231
144,PSZ2_G131.15-14.72,24.64388706,47.3943104
145,PSZ2_G036.09-17.43,299.8263339,-5.148347537
146,PSZ2_G247.14+25.88,142.6282798,-14.54775475
147,PSZ2_G237.68+57.83,163.3788293,10.81583035
148,PSZ2_G124.56+25.38,53.13064643,87.72211353
149,PSZ2_G114.98+19.10,328.8991652,79.15333146
150,PSZ2_G323.77-33.80,308.3535893,-70.87823593
151,PSZ2_G008.70-31.44,304.2413269,-33.32638003
152,PSZ2_G082.06+27.23,273.041291,53.81167662
153,PSZ2_G307.23+16.35,198.8398574,-46.31619491
154,PSZ2_G095.75-11.16,334.7027679,43.51336706
155,PSZ2_G289.50-47.49,36.61013692,-67.08190537
156,PSZ2_G125.84-18.72,16.69655665,44.0575128
157,PSZ2_G120.36+26.03,307.7575553,87.4583044
158,PSZ2_G295.92-39.39,36.5377538,-76.41945673
159,PSZ2_G305.14-33.60,357.0183531,-83.24628306
160,PSZ2_G013.06-75.46,356.8526134,-31.15086243
161,PSZ2_G311.33-48.50,358.1152046,-67.64845683
162,PSZ2_G271.04-12.16,123.1561485,-56.59930233
163,PSZ2_G305.59-54.80,9.557751491,-62.25462107
164,PSZ2_G240.71-74.03,29.83484005,-33.53952825
165,PSZ2_G322.44+20.29,216.6178635,-38.95115902
166,PSZ2_G254.52+08.27,132.8766515,-31.26454559
167,PSZ2_G046.36-06.83,295.1839418,8.686048414
168,PSZ2_G027.39+15.39,266.6611649,2.191050649
169,PSZ2_G296.88-17.07,162.549314,-78.49845738
170,PSZ2_G186.50-13.45,77.95232903,16.20588374
171,PSZ2_G014.72-62.49,341.6334404,-32.20111554
172,PSZ2_G017.25-70.71,351.1688847,-30.65106966
173,PSZ2_G271.53+36.41,166.3724522,-19.91876072
174,PSZ2_G289.30-28.95,91.06886949,-77.84458975
175,PSZ2_G297.31-34.68,43.99114397,-81.03915775
176,PSZ2_G263.65+27.87,155.3216307,-23.31487782
177,PSZ2_G118.79+47.50,200.8033323,69.36349802
178,PSZ2_G306.62-41.25,1.658311363,-75.54724131
179,PSZ2_G316.43+54.02,200.819439,-8.013027655
180,PSZ2_G185.68+09.82,99.33896302,28.64061544
181,PSZ2_G316.89-32.24,309.0955447,-76.8455865
182,PSZ2_G278.92+31.06,169.7376107,-27.45781124
