,PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N
0,744,PSZ2_G153.56+36.82,131.1331774,62.41165761,8:44:32,+62:24:41.96,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=131.133177&dec=62.411658&opt=S,MADE,15.8967,-1,-1,1.0,-1,T,,,,17-Nov-15,,unknown,unknown,True,,,,-0.0011,-0.35,,,,
1,1601,PSZ2_G342.45+24.14,233.15498309999998,-26.09960369,15:32:37,-26:05:59,False,,,15.7141,-1,-1,-1.0,-1,T,,27-Apr-16,,,,unknown,unknown,False,,,,0.003,0.45,,,,
2,485,PSZ2_G100.45+16.79,304.64066329999997,66.78551437,20:18:34,+66:47:07.85,False,,,11.7853,-1,-1,1.0,-1,T,,7-Oct-15,,16-Nov-15,,unknown,unknown,True,,,,-0.0033,-2.18,,,,
3,1587,PSZ2_G340.09+22.89,232.11948399999997,-28.424133500000003,15:28:29,-28:25:27,False,,,11.3539,-1,-1,-1.0,-1,T,,27-Apr-16,,,,unknown,unknown,False,,,,0.0051,0.7,,,,
4,603,PSZ2_G123.35+25.39,25.33167665,88.22071422,1:41:20,+88:13:14.57,False,,,10.8593,449,-1,-999.0,-1,T,PSZ1_G123.37+25.34,25-Oct-14,,22-Feb-16,,unknown,unknown,True,,0.0042,1.0,0.0022,0.57,449.0,603.0,10.86,5.897
5,522,PSZ2_G107.41-09.57,348.4457875,50.32555889,23:13:47,+50:19:32.01,False,,,10.6877,-1,-1,2.0,-1,T,,13-Jun-16,,16-Nov-15,,unknown,unknown,True,,,,-0.0037,-0.94,,,,
6,949,PSZ2_G210.37-37.00,68.18270407,-14.05027829,4:32:44,-14:03:01,False,,,9.8447,-1,-1,-2.0,-1,T,,,,17-Nov-15,,unknown,unknown,True,,,,-0.0011,-0.2,,,,
7,796,PSZ2_G166.27-24.71,55.66079793,23.41149792,3:42:39,+23:24:41.39,False,,,9.5753,-1,-1,2.0,-1,T,,,,16-Nov-15,,unknown,unknown,True,,,,-0.0061,-2.28,,,,
8,1502,PSZ2_G318.46+83.79,194.6379736,21.13664876,12:58:33,+21:08:11.93,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=194.637974&dec=21.136649&opt=S,MADE,9.401,1122,-1,-999.0,-1,F,PSZ1_G318.61+83.80,20-Feb-14,,20-Mar-14,girz,reduced,unknown,True,,-0.0031,-1.01,-0.0029,-0.97,1122.0,1502.0,9.401,6.928999999999999
9,1070,PSZ2_G235.96+38.21,146.546254,0.486121791,9:46:11,+00:29:10.03,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=146.546254&dec=0.486122&opt=S,MADE,9.3962,791,-1,1.0,-1,T,PSZ1_G235.93+38.21,29-Jan-16,,21-Feb-16,,unknown,unknown,True,,-0.0038,-1.62,-0.0039,-1.67,791.0,1070.0,9.396,4.792
